path,has_garbled_question_marks,has_replacement_char,mentions_dqn_or_rl,chars_read
D:\桌面\codex\zotero\data\deepreads\20260415_Bayesian network modeling applied to food risks Data from General Administration of Customs of China as an example.md,False,False,True,2803
D:\桌面\codex\zotero\data\deepreads\20260415_Big Data Impacting Dynamic Food Safety Risk Management in the Food Chain.md,False,False,True,3011
D:\桌面\codex\zotero\data\deepreads\20260420_A Survey of Constraint Formulations in Safe Reinforcement Learning.md,False,False,True,9954
D:\桌面\codex\zotero\data\deepreads\20260420_Designing optimal food safety monitoring schemes using Bayesian network and integer programming The case of monitoring dioxins and DL-PCBs.md,False,False,True,5894
D:\桌面\codex\zotero\data\deepreads\20260420_Early warning predictions of contaminants in animal feed using machine learning.md,False,False,False,6340
D:\桌面\codex\zotero\data\deepreads\20260420_Machine learning-aided risk-based inspection strategy for hydrogen technologies.md,False,False,True,7708
D:\桌面\codex\zotero\data\deepreads\20260420_Multi-Criteria Decision Analysis in Food Safety Risk Management The Case of Dioxins in Baltic Fish.md,False,False,False,9582
D:\桌面\codex\zotero\data\deepreads\20260420_Using Machine Learning to Predict Regulatory Fines Enhancing Deterrence in White-Collar Financial Crime Enforcement.md,False,False,False,9963
D:\桌面\codex\zotero\data\deepreads\20260421_AI-Driven Risk Assessment in Food Safety Using EU RASFF Database.md,False,False,False,10192
D:\桌面\codex\zotero\data\deepreads\20260425_Human-level control through deep reinforcement learning.md,True,False,True,673
D:\桌面\codex\zotero\data\deepreads\20260426_DQN文献增强_PEANUT风险监管建模.md,False,False,True,730
D:\桌面\codex\zotero\data\deepreads\README.md,False,False,False,310
