key,title,authors,year,source,url,role,use_in_model
Mnih2015DQN,Human-level control through deep reinforcement learning,Mnih et al.,2015,Nature,https://www.nature.com/articles/nature14236,DQN 核心方法：experience replay、target network、Q-value function approximation,作为 DQN/Double DQN 基础，不覆盖食品监管约束设定
VanHasselt2016DDQN,Deep Reinforcement Learning with Double Q-Learning,"van Hasselt, Guez & Silver",2016,AAAI,https://dblp.org/rec/conf/aaai/HasseltGS16.html,降低 Q-learning maximization bias,建议作为正式方案的首选 DQN variant 候选之一，需用户确认
Altman1999CMDP,Constrained Markov Decision Processes,Altman,1999,Chapman & Hall/CRC,https://openlibrary.org/books/OL97592M/Constrained_Markov_decision_processes,预算、产能、安全约束的 CMDP 理论基础,正式 DQN 应以约束 MDP/CMDP 表述，硬约束用 action mask，软约束用 Lagrangian/penalty 需确认
Guan2024SafeRLSurvey,A Survey of Constraint Formulations in Safe Reinforcement Learning,Guan et al.,2024,IJCAI,https://www.ijcai.org/proceedings/2024/0913,safe RL 中约束形式与算法选择综述,用于说明硬约束、期望累计约束、状态约束的区别，帮助参数表确认
VanAsselt2021RiskInspection,Methods to perform risk-based inspections of food companies,van Asselt et al.,2021,Journal of Food Science,https://pubmed.ncbi.nlm.nih.gov/34796503/,食品安全 risk-based inspection 的步骤、优先级与资源约束背景,支持“风险排序-抽检频次-成本有效监测”的监管逻辑
FAOFoodInspection,Food inspection: risk-based food inspection systems,FAO,2026,FAO Food Safety and Quality,https://www.fao.org/food-safety/food-control-systems/food-inspection/en,官方风险导向食品检查原则,支持在有限资源下优先高风险环节/对象
Wang2020RiskBasedSampling,Optimization of Sampling for Monitoring Chemicals in the Food Supply Chain Using a Risk-Based Approach,Wang et al.,2020,Risk Analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC7821187/,用健康风险降低和预算优化食品链化学污染物监测,支持把 reward 与公共健康风险降低、预算成本联结
Focker2023Monitoring,Risk-based food safety monitoring with risk ranking and sampling strategies,Focker et al.,2023,Food Control,https://edepot.wur.nl/576626,风险导向监测与抽样策略比较,支持 baseline 设计：随机、风险排序、历史频率、成本有效策略
EFSA_MOE,Margin of Exposure topic page and 2005 opinion context,EFSA,2026,EFSA,https://www.efsa.europa.eu/en/topics/topic/margin-exposure,MOE 对遗传毒性/致癌物的风险表征框架,支持 MOE penalty 作为 risk module，但 cutoff/效应点需确认
IARC_AFB1,Aflatoxin B1 as Group 1 carcinogen / mycotoxins monographs context,IARC,2026,IARC,https://www.iarc.who.int/reference/genome-scale-mutational-signatures-of-aflatoxin-in-cells-mice-and-human-tumors/,AFB1 致癌危害背景,支持 AFB1 风险优先级；不能替代暴露参数
JECFA_Aflatoxins,WHO Food Additives Series 74: Aflatoxins addendum,JECFA/WHO,2018,WHO/IPCS INCHEM,https://www.inchem.org/documents/jecfa/jecmono/v74je01.pdf,AFB1 毒理学与风险评估依据,正式 BMDL/MOE 参数应优先追溯该类官方资料或用户给定 QIVIVE 来源
