skill_dir,skill_name,description,has_skill_md,has_name_and_description,counterpart_exists,canonical_note
.agents/skills/artifact-organizer,artifact-organizer,Organize task artifacts and trigger whole-workspace organization checks in workflow1.,True,True,True,repo scoped .agents/skills preferred; skills/ kept for compatibility
.agents/skills/concentration-cleaning-auditor,concentration-cleaning-auditor,"Audit and repair contaminant concentration cleaning before MOE/EDI, POMDP, belief-MDP, DQN, or risk reporting. Use for AFB1 detection, pollutant label verification, detection-value parsing, regulatory-limit parsing, unit normalization, exceedance labels, exceedance multiples, manual-review flags, concentration distribution summaries, and downstream impact checks.",True,True,True,repo scoped .agents/skills preferred; skills/ kept for compatibility
.agents/skills/error-recovery-and-auto-repair,error-recovery-and-auto-repair,"Recover from lightweight workflow errors and decide when to stop. Use when Codex encounters missing lightweight dependencies, path or encoding failures, Chinese filename issues, table or chart output failures, Excel sheet mismatches, optional parser failures, ordinary dtype conversion errors, or any scientific workflow error that might be safely repaired without user input.",True,True,True,repo scoped .agents/skills preferred; skills/ kept for compatibility
.agents/skills/goal-driven-research-orchestrator,goal-driven-research-orchestrator,"Route one-line research launch commands into the workflow1 scientific workflow, using project memory, references, raw inventory, and relevant skills before executing stages.",True,True,True,repo scoped .agents/skills preferred; skills/ kept for compatibility
.agents/skills/project-memory-updater,project-memory-updater,"Update workflow1 project memory, lessons learned, conversation handoff, next step, changelog, and decision log after each durable task.",True,True,True,repo scoped .agents/skills preferred; skills/ kept for compatibility
.agents/skills/skill-scout-and-upgrader,skill-scout-and-upgrader,"Search and evaluate open-source skills, agents, workflows, and automation patterns, then propose minimal safe upgrades for workflow1 without blindly copying code.",True,True,True,repo scoped .agents/skills preferred; skills/ kept for compatibility
.agents/skills/upstream-output-auditor,upstream-output-auditor,"Verify upstream workflow outputs before downstream modeling, simulation, MOE/EDI, POMDP, belief-MDP, DQN, or formal visualization. Use when Codex must compare raw data, cleaned data, feature tables, dictionaries, reports, Beta-Binomial belief states, and belief-MDP state features for consistency, omissions, parsing failures, label conflicts, numeric anomalies, or stale downstream artifacts.",True,True,True,repo scoped .agents/skills preferred; skills/ kept for compatibility
.agents/skills/whole-workspace-organizer,whole-workspace-organizer,"Organize the entire workflow1 workspace, preserve pipeline-required latest artifacts, archive uncertain files, and update whole-project indexes after substantive tasks.",True,True,True,repo scoped .agents/skills preferred; skills/ kept for compatibility
skills/artifact-organizer,artifact-organizer,Organize task artifacts and trigger whole-workspace organization checks in workflow1.,True,True,True,repo scoped .agents/skills preferred; skills/ kept for compatibility
skills/autonomous-research-orchestrator,autonomous-research-orchestrator,,True,False,False,repo scoped .agents/skills preferred; skills/ kept for compatibility
skills/baseline-trainer,baseline-trainer,,True,False,False,repo scoped .agents/skills preferred; skills/ kept for compatibility
skills/concentration-cleaning-auditor,concentration-cleaning-auditor,"Audit and repair contaminant concentration cleaning before MOE/EDI, POMDP, belief-MDP, DQN, or risk reporting. Use for AFB1 detection, pollutant label verification, detection-value parsing, regulatory-limit parsing, unit normalization, exceedance labels, exceedance multiples, manual-review flags, concentration distribution summaries, and downstream impact checks.",True,True,True,repo scoped .agents/skills preferred; skills/ kept for compatibility
skills/data-cleaning-matching,data-cleaning-matching,,True,False,False,repo scoped .agents/skills preferred; skills/ kept for compatibility
skills/data-schema-profiler,data-schema-profiler,,True,False,False,repo scoped .agents/skills preferred; skills/ kept for compatibility
skills/eda-generator,eda-generator,,True,False,False,repo scoped .agents/skills preferred; skills/ kept for compatibility
skills/error-recovery-and-auto-repair,error-recovery-and-auto-repair,"Recover from lightweight workflow errors and decide when to stop. Use when Codex encounters missing lightweight dependencies, path or encoding failures, Chinese filename issues, table or chart output failures, Excel sheet mismatches, optional parser failures, ordinary dtype conversion errors, or any scientific workflow error that might be safely repaired without user input.",True,True,True,repo scoped .agents/skills preferred; skills/ kept for compatibility
skills/goal-driven-research-orchestrator,goal-driven-research-orchestrator,"Route one-line research launch commands into the workflow1 scientific workflow, using project memory, references, raw inventory, and relevant skills before executing stages.",True,True,True,repo scoped .agents/skills preferred; skills/ kept for compatibility
skills/method-selector,method-selector,,True,False,False,repo scoped .agents/skills preferred; skills/ kept for compatibility
skills/ml-problem-framer,ml-problem-framer,,True,False,False,repo scoped .agents/skills preferred; skills/ kept for compatibility
