output_path,source_paths,transform,row_count,column_count,status,notes
02_表格输出\approval_required_external_tools.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\citation_verification_tool_candidates.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\data_validation_rule_registry.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\external_validation_plugin_approval_queue.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\model_comparison_required_baselines.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\new_or_upgraded_quality_skills.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\paper_section_quality_gates.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\quality_validation_safe_adaptation_plan.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\quality_validation_skill_candidates.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\quality_validation_tool_evaluation_matrix.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\research_quality_workflow_dry_run_results.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\result_claim_guard_rules.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\top_journal_benchmark_initial_registry.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\validation_skill_search_results.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\workflow_quality_improvement_backlog.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\zotero_garbled_note_scan.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
02_表格输出\zotero_writeback_safe_plan.csv,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"table outputs generated from local policies, scout evaluation, dry-run routing, and Zotero scan",,,pass,data/01_raw not modified
04_报告输出\data_generation_validation_system_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
04_报告输出\data_lineage_and_validation_upgrade_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
04_报告输出\model_comparison_and_validation_upgrade_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
04_报告输出\model_comparison_protocol_upgrade_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
04_报告输出\paper_and_citation_quality_upgrade_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
04_报告输出\paper_quality_workflow_upgrade_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
04_报告输出\quality_validation_skill_scout_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
04_报告输出\research_quality_system_upgrade_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
04_报告输出\research_quality_workflow_dry_run_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
04_报告输出\result_claim_guard_upgrade_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
04_报告输出\top_journal_benchmarking_upgrade_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
04_报告输出\top_journal_benchmark_system_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
04_报告输出\workflow_memory_and_agent_optimization_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
04_报告输出\workflow_self_improvement_quality_upgrade_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
04_报告输出\zotero_writeback_and_citation_verification_upgrade_report.md,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,"reports generated from project state, web scout metadata, local policy upgrades, and dry-run outputs",,,pass,data/01_raw not modified
06_配置参数\research_quality_policy_snapshot.yaml,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,policy snapshot copied from research_quality,,,pass,data/01_raw not modified
09_论文输出\citation_export_stub.bib,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,Zotero sidecar notes and citation export stubs; no Zotero database write,,,pass,data/01_raw not modified
09_论文输出\citation_export_stub.ris,AGENTS.md; project_state; workflow_improvement; model_registry; skills; references; web scout metadata,Zotero sidecar notes and citation export stubs; no Zotero database write,,,pass,data/01_raw not modified
