path,category,description
README.md,说明,工作包入口说明
00_输入说明/inputs.md,输入,本轮输入与降级说明
01_数据输出/peanut_dqn_prototype_policy.csv,数据输出,DQN-style prototype 为每个状态单元生成的动作建议
02_表格输出/peanut_dqn_upstream_audit_findings.csv,表格输出,进入 DQN 前的上游核验结果
02_表格输出/peanut_dqn_top_priority_states.csv,表格输出,风险 proxy 最高且建议重点专项抽检的状态单元
02_表格输出/peanut_dqn_action_summary.csv,表格输出,推荐动作分布汇总
04_报告输出/peanut_dqn_prototype_report.md,报告,DQN 初步运行报告
04_报告输出/dqn_literature_zotero_update.md,报告,DQN 文献与 Zotero 更新记录
05_模型与实验,模型与实验,本轮未保存二进制模型，仅保存可复现脚本与结果
06_配置参数/peanut_dqn_prototype_assumptions.json,配置参数,沙盒动作、reward、gamma 与正式阻断项
07_日志与错误/peanut_dqn_prototype_run_summary.json,日志,本轮运行摘要
08_代码快照/run_dqn_prototype.py,代码快照,DQN-style prototype 运行脚本
