candidate,classification,action,auto_applied
openai/skills,REFERENCE_ONLY,reference only,false
ComposioHQ/awesome-codex-skills,ADAPT_AS_LOCAL_SKILL,local adaptation / recipe entry,true
ComposioHQ/awesome-claude-skills,REFERENCE_ONLY,reference only,false
the911fund/skill-of-skills,ADAPT_AS_LOCAL_SKILL,local adaptation / recipe entry,true
skillcreatorai/Ai-Agent-Skills,REFERENCE_ONLY,reference only,false
Imbad0202/academic-research-skills,ADAPT_AS_LOCAL_SKILL,local adaptation / recipe entry,true
karpathy/autoresearch,ADD_TO_RECIPE_OR_REGISTRY,local adaptation / recipe entry,true
SamuelSchmidgall/AgentLaboratory,REFERENCE_ONLY,reference only,false
ruc-datalab/DeepAnalyze,REFERENCE_ONLY,reference only,false
poemswe/co-researcher,REFERENCE_ONLY,reference only,false
kujenga/zotero-mcp,APPROVAL_REQUIRED_PLUGIN,approval queue,false
cookjohn/zotero-mcp,APPROVAL_REQUIRED_PLUGIN,approval queue,false
54yyyu/zotero-mcp,APPROVAL_REQUIRED_PLUGIN,approval queue,false
Nikhil-Doye/auto-ml-agent,REFERENCE_ONLY,reference only,false
business-science/ai-data-science-team,REFERENCE_ONLY,reference only,false
K-Dense-AI/agentic-data-scientist,REFERENCE_ONLY,reference only,false
K-Dense-AI/scientific-agent-skills,ADAPT_AS_LOCAL_SKILL,local adaptation / recipe entry,true
Orchestra-Research/AI-research-SKILLs,ADAPT_AS_LOCAL_SKILL,local adaptation / recipe entry,true
