任务包路径,任务名称,任务开始时间,任务类型,输入文件,主要输出,是否完成,是否有错误,是否影响后续 pipeline,README 路径,run_id,run_path,created_at,task,status,experimental_boundary
outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座,PEANUT数据清洗与风险底座,20260424_1908,数据清洗/风险底座,data/01_raw/PEANUT2023-20241.xlsx; references/processed_summaries/peanut_research_plan_summary.md,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/README.md; outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/00_输入说明/inputs.md; outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/01_数据输出/peanut_cleaned_analysis_ready.csv; outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/01_数据输出/peanut_cleaned_analysis_ready.xlsx; outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_afb1_concentration_distribution.svg; outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_afb1_record_distribution.svg; outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_category_risk_ranking.svg; outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/04_报告输出/peanut_cleaning_report.md,True,False,True,outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座/README.md,,,,,,
outputs/工作包/20260424_2048_BetaBinomial信念更新,BetaBinomial信念更新,20260424_2048,信念状态,data/04_feature/peanut_count_panel.csv,outputs/工作包/20260424_2048_BetaBinomial信念更新/README.md; outputs/工作包/20260424_2048_BetaBinomial信念更新/00_输入说明/inputs.md; outputs/工作包/20260424_2048_BetaBinomial信念更新/01_数据输出/peanut_belief_mdp_state_features.csv; outputs/工作包/20260424_2048_BetaBinomial信念更新/01_数据输出/peanut_belief_mdp_state_features.xlsx; outputs/工作包/20260424_2048_BetaBinomial信念更新/01_数据输出/peanut_beta_binomial_belief_states.csv; outputs/工作包/20260424_2048_BetaBinomial信念更新/04_报告输出/peanut_belief_state_latest.csv; outputs/工作包/20260424_2048_BetaBinomial信念更新/04_报告输出/peanut_belief_state_summary_by_stage.csv; outputs/工作包/20260424_2048_BetaBinomial信念更新/04_报告输出/peanut_beta_binomial_belief_update_report.md,True,True,True,outputs/工作包/20260424_2048_BetaBinomial信念更新/README.md,,,,,,
outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复,PEANUT上游查验与浓度修复,20260424_2049,上游核验/浓度修复,data/03_primary/peanut_cleaned_analysis_ready.csv,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/README.md; outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/00_输入说明/inputs.md; outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/01_数据输出/peanut_concentration_clean_table.csv; outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/01_数据输出/peanut_concentration_distribution_summary.csv; outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/01_数据输出/peanut_count_panel.csv; outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/01_数据输出/peanut_count_panel.xlsx; outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/04_报告输出/peanut_concentration_audit_findings.csv; outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/04_报告输出/peanut_concentration_cleaning_report.md,True,False,True,outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复/README.md,,,,,,
outputs/工作包/20260424_2132_MOE_EDI外部参数匹配,MOE_EDI外部参数匹配,20260424_2132,MOE/EDI风险度量,data/04_feature/peanut_concentration_clean_table.csv; data/04_feature/peanut_belief_mdp_state_features.csv; data/01_raw/Concentration_and_Consumption pEANUT.xlsx; data/01_raw/population_long_clean.xlsx,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/README.md; outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/00_输入说明/inputs.md; outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/01_数据输出/peanut_belief_mdp_state_features_with_moe_edi.csv; outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/01_数据输出/peanut_bmdl_parameter_table.csv; outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/01_数据输出/peanut_consumption_parameter_table.csv; outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/01_数据输出/peanut_edi_moe_risk_summary.csv; outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/01_数据输出/peanut_edi_moe_risk_table.csv; outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/01_数据输出/peanut_population_parameter_table.csv,True,True,True,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/README.md,,,,,,
outputs/工作包/20260424_2244_全工作目录整理与规范化,全工作目录整理与规范化,20260424_2244,目录整理/规则固化,AGENTS.md; project_state; outputs/_index,outputs/工作包/20260424_2244_全工作目录整理与规范化/README.md; outputs/工作包/20260424_2244_全工作目录整理与规范化/00_输入说明/inputs.md; outputs/工作包/20260424_2244_全工作目录整理与规范化/02_表格输出/archive_manifest.csv; outputs/工作包/20260424_2244_全工作目录整理与规范化/02_表格输出/organization_actions.csv; outputs/工作包/20260424_2244_全工作目录整理与规范化/02_表格输出/output_manifest.csv; outputs/工作包/20260424_2244_全工作目录整理与规范化/02_表格输出/raw_data_inventory.csv; outputs/工作包/20260424_2244_全工作目录整理与规范化/02_表格输出/reference_inventory.csv; outputs/工作包/20260424_2244_全工作目录整理与规范化/02_表格输出/skills_inventory.csv,True,False,False,outputs/工作包/20260424_2244_全工作目录整理与规范化/README.md,,,,,,
outputs/工作包/20260424_2357_工作流任务包机制重构,工作流任务包机制重构,20260424_2357,目录整理/规则固化,AGENTS.md; outputs/_index; project_state; skills,outputs/工作包/20260424_2357_工作流任务包机制重构/README.md; outputs/工作包/20260424_2357_工作流任务包机制重构/00_输入说明/inputs.md; outputs/工作包/20260424_2357_工作流任务包机制重构/02_表格输出/deleted_duplicates_log.csv; outputs/工作包/20260424_2357_工作流任务包机制重构/02_表格输出/reorganized_files_log.csv; outputs/工作包/20260424_2357_工作流任务包机制重构/02_表格输出/unclassified_unique_files_log.csv; outputs/工作包/20260424_2357_工作流任务包机制重构/04_报告输出/workflow_run_package_restructure_report.md; outputs/工作包/20260424_2357_工作流任务包机制重构/06_配置参数/run_package_policy_snapshot.md; outputs/工作包/20260424_2357_工作流任务包机制重构/07_日志与错误/cli_stub_check_log.json,True,False,False,outputs/工作包/20260424_2357_工作流任务包机制重构/README.md,,,,,,
outputs/工作包/20260425_0020_全工作流目录重构与去重,全工作流目录重构与去重,20260425_0020,目录整理/规则固化,,outputs/工作包/20260425_0020_全工作流目录重构与去重/02_表格输出/deleted_duplicates_log.csv; outputs/工作包/20260425_0020_全工作流目录重构与去重/02_表格输出/moved_files_log.csv; outputs/工作包/20260425_0020_全工作流目录重构与去重/02_表格输出/unclassified_unique_files_log.csv; outputs/工作包/20260425_0020_全工作流目录重构与去重/02_表格输出/workspace_inventory_before.csv; outputs/工作包/20260425_0020_全工作流目录重构与去重/04_报告输出/workspace_cleanup_plan.md,False,False,False,,,,,,,
outputs/工作包/20260425_1132_DQN初步运行,DQN初步运行,20260425_1132,DQN prototype/上游核验/文献入库,data/04_feature/peanut_belief_mdp_state_features_with_moe_edi.csv; data/04_feature/peanut_edi_moe_risk_table.csv; references/processed_summaries/peanut_research_plan_summary.md,outputs/工作包/20260425_1132_DQN初步运行/README.md; outputs/工作包/20260425_1132_DQN初步运行/04_报告输出/peanut_dqn_prototype_report.md; outputs/工作包/20260425_1132_DQN初步运行/01_数据输出/peanut_dqn_prototype_policy.csv; outputs/工作包/20260425_1132_DQN初步运行/02_表格输出/peanut_dqn_action_summary.csv; outputs/工作包/20260425_1132_DQN初步运行/04_报告输出/dqn_literature_zotero_update.md,True,False,False,outputs/工作包/20260425_1132_DQN初步运行/README.md,,,,,,
outputs/工作包/20260425_1157_DQN文档驱动建模准备与参数确认,DQN文档驱动建模准备与参数确认,20260425_1157,DQN readiness/文档抽取/文献环境审计,references/notes/物流与供应链管理前言-研究计划-肖宇航.docx; D:/桌面/codex/zotero; outputs/_index/latest_canonical_outputs.yaml,outputs/工作包/20260425_1157_DQN文档驱动建模准备与参数确认/README.md; outputs/工作包/20260425_1157_DQN文档驱动建模准备与参数确认/04_报告输出/dqn_research_plan_extraction_report.md; outputs/工作包/20260425_1157_DQN文档驱动建模准备与参数确认/04_报告输出/dqn_zotero_literature_audit.md; outputs/工作包/20260425_1157_DQN文档驱动建模准备与参数确认/04_报告输出/dqn_python_environment_audit.md; outputs/工作包/20260425_1157_DQN文档驱动建模准备与参数确认/02_表格输出/dqn_parameter_confirmation_table.csv; outputs/工作包/20260425_1157_DQN文档驱动建模准备与参数确认/06_配置参数/dqn_model_spec_from_document.yaml,True,False,True,outputs/工作包/20260425_1157_DQN文档驱动建模准备与参数确认/README.md,,,,,,
outputs/工作包/20260425_1251_DQN环境修复_PyTorch_CUDA126安装,DQN环境修复_PyTorch_CUDA126安装,20260425_1251,DQN 环境修复/PyTorch cu126/GPU smoke test,D:/anaconda3/envs/myenv1/python.exe,outputs/工作包/20260425_1251_DQN环境修复_PyTorch_CUDA126安装/README.md; outputs/工作包/20260425_1251_DQN环境修复_PyTorch_CUDA126安装/04_报告输出/dqn_myenv1_pytorch_cuda126_reinstall_report.md; outputs/工作包/20260425_1251_DQN环境修复_PyTorch_CUDA126安装/04_报告输出/dqn_myenv1_environment_validation_report.md; outputs/工作包/20260425_1251_DQN环境修复_PyTorch_CUDA126安装/06_配置参数/myenv1_dqn_environment_config.yaml; outputs/工作包/20260425_1251_DQN环境修复_PyTorch_CUDA126安装/07_日志与错误/torch_gpu_smoke_test_log.txt; outputs/工作包/20260425_1251_DQN环境修复_PyTorch_CUDA126安装/08_代码快照/torch_gpu_smoke_test.py,True,False,True,outputs/工作包/20260425_1251_DQN环境修复_PyTorch_CUDA126安装/README.md,,,,,,
