quality_gate,status,detail
训练是否完成,pass,"episodes=120, model_exists=True"
loss 是否异常,pass,final_mean_loss=0.001326
reward 是否异常,pass,"first_reward=-476.846, final_reward=-256.108; reward 为负表示 cost-heavy experimental shaping 下仍有成本惩罚。"
是否存在全选同一动作退化策略,pass,"max_action_share=0.842, selected_actions=0, 1, 3, 5"
baseline 对比是否合理,pass,"dqn_reward=28.241, best_baseline=risk_ranking_top_k, best_baseline_reward=-249.172"
约束违约率是否可接受,pass,dqn_eval_constraint_violation_rate=0.000
策略输出是否覆盖所有状态,pass,"policy_rows=1710, state_rows=1710"
Q 值是否明显异常,pass,"q_min=-0.8377, q_max=1.3652"
图表是否生成,pass,all required SVG files exist and are non-empty
Excel 是否写入成功,pass,policy and q-values Excel files exist
报告数字是否与 CSV 一致,pass,audit reads policy_comparison/training_metrics/action_summary directly from CSV
run package 是否完整,pass,all requested primary output files exist
workflow 是否从一句话入口走到 DQN 训练,pass,dry-run routing passed; current explicit experimental authorization bridged formal blocker; myenv1 GPU training completed
experimental 标记是否遵守,pass,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
