candidate,url,category,classification,reason,relevance_to_workflow1,academic_research_fit,data_science_fit,literature_zotero_fit,experiment_loop_fit,security_risk,dependency_risk,needs_user_approval,recommendation
openai/skills,https://github.com/openai/skills,official/community skills,REFERENCE_ONLY,Useful source of skill packaging patterns; use official docs first.,5,4,4,3,3,low,low,false,REFERENCE_ONLY
ComposioHQ/awesome-codex-skills,https://github.com/ComposioHQ/awesome-codex-skills,skill list,ADAPT_AS_LOCAL_SKILL,Good watchlist and trigger-pattern source; no install needed.,5,4,4,3,3,low,low,false,ADAPT_AS_LOCAL_SKILL
ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,skill list,REFERENCE_ONLY,Useful cross-agent skill examples; adapt structure only.,5,4,4,3,3,low,low,false,REFERENCE_ONLY
the911fund/skill-of-skills,https://github.com/the911fund/skill-of-skills,meta skill,ADAPT_AS_LOCAL_SKILL,Supports skill discovery mindset; adapt as local self-improvement scout.,5,4,4,3,3,low,low,false,ADAPT_AS_LOCAL_SKILL
skillcreatorai/Ai-Agent-Skills,https://github.com/skillcreatorai/Ai-Agent-Skills,skill collection,REFERENCE_ONLY,"Reference for skill registry, license must be checked before reuse.",5,4,4,3,3,low,low,false,REFERENCE_ONLY
Imbad0202/academic-research-skills,https://github.com/Imbad0202/academic-research-skills,academic research skills,ADAPT_AS_LOCAL_SKILL,Relevant to literature/research workflows; adapt checklists only.,5,4,4,5,3,low,low,false,ADAPT_AS_LOCAL_SKILL
karpathy/autoresearch,https://github.com/karpathy/autoresearch,autonomous experiment loop,ADD_TO_RECIPE_OR_REGISTRY,"Experiment loop ideas useful, LLM training code not copied.",5,4,4,3,5,low,low,false,ADD_TO_RECIPE_OR_REGISTRY
SamuelSchmidgall/AgentLaboratory,https://github.com/SamuelSchmidgall/AgentLaboratory,research agent,REFERENCE_ONLY,Large framework; use as design reference only.,5,4,4,5,3,low,high,false,REFERENCE_ONLY
ruc-datalab/DeepAnalyze,https://github.com/ruc-datalab/DeepAnalyze,data science agent,REFERENCE_ONLY,Potential data analysis workflow ideas; do not run external stack.,5,4,4,3,3,low,high,false,REFERENCE_ONLY
poemswe/co-researcher,https://github.com/poemswe/co-researcher,co-research agent,REFERENCE_ONLY,Research collaboration pattern only.,5,4,4,5,3,low,high,false,REFERENCE_ONLY
kujenga/zotero-mcp,https://github.com/kujenga/zotero-mcp,Zotero MCP,APPROVAL_REQUIRED_PLUGIN,MCP install and Zotero access require confirmation.,5,4,4,5,3,high,high,true,APPROVAL_REQUIRED_PLUGIN
cookjohn/zotero-mcp,https://github.com/cookjohn/zotero-mcp,Zotero MCP,APPROVAL_REQUIRED_PLUGIN,MCP install and Zotero access require confirmation.,5,4,4,5,3,high,high,true,APPROVAL_REQUIRED_PLUGIN
54yyyu/zotero-mcp,https://github.com/54yyyu/zotero-mcp,Zotero MCP,APPROVAL_REQUIRED_PLUGIN,MCP install and Zotero access require confirmation.,5,4,4,5,3,high,high,true,APPROVAL_REQUIRED_PLUGIN
Nikhil-Doye/auto-ml-agent,https://github.com/Nikhil-Doye/auto-ml-agent,AutoML agent,REFERENCE_ONLY,Potential AutoML patterns; external code/deps not run.,5,4,4,3,3,low,high,false,REFERENCE_ONLY
business-science/ai-data-science-team,https://github.com/business-science/ai-data-science-team,data science agents,REFERENCE_ONLY,Good role decomposition patterns; likely dependency-heavy.,5,4,4,3,3,low,high,false,REFERENCE_ONLY
K-Dense-AI/agentic-data-scientist,https://github.com/K-Dense-AI/agentic-data-scientist,data scientist agent,REFERENCE_ONLY,Reference for data-science agent loop.,5,4,4,3,3,low,high,false,REFERENCE_ONLY
K-Dense-AI/scientific-agent-skills,https://github.com/K-Dense-AI/scientific-agent-skills,scientific skills,ADAPT_AS_LOCAL_SKILL,Potential scientific skill taxonomy; adapt locally.,5,4,4,3,3,low,low,false,ADAPT_AS_LOCAL_SKILL
Orchestra-Research/AI-research-SKILLs,https://github.com/Orchestra-Research/AI-research-SKILLs,research skills,ADAPT_AS_LOCAL_SKILL,Potential paper/research workflow patterns.,5,4,4,5,3,low,low,false,ADAPT_AS_LOCAL_SKILL
