标题,路径,文件类型,匹配关键词,是否有PDF,PDF路径,是否读取全文,PDF页数,note是否乱码,乱码迹象,对DQN设定作用,是否可作正式方法依据,备注
"""Multi-Criteria Decision Analysis in Food Safety Risk Management: The Case of Dioxins in Baltic Fish"",""Beshir M. Ali; M. G. Andersson; B. H. P. van den Borne; M. Focker; H. J. van ",D:\桌面\codex\zotero\data\candidates\20260420_pdf_pipeline_smoketest_candidates.csv,.csv,MDP; EDI,是,D:\桌面\codex\zotero\data\pdfs\20260420_Multi-Criteria Decision Analysis in Food Safety Risk Management The Case of Dioxins in Baltic Fish.pdf,是，已遍历全文16页，可抽取文本字符数=69878，空文本页=0,16,否,?????=0; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
"""Multi-Criteria Decision Analysis in Food Safety Risk Management: The Case of Dioxins in Baltic Fish"",""Beshir M. Ali; M. G. Andersson; B. H. P. van den Borne; M. Focker; H. J. van ",D:\桌面\codex\zotero\data\screened\20260420_pdf_pipeline_smoketest_selected.csv,.csv,MDP; EDI,是,D:\桌面\codex\zotero\data\pdfs\20260420_Multi-Criteria Decision Analysis in Food Safety Risk Management The Case of Dioxins in Baltic Fish.pdf,是，已遍历全文16页，可抽取文本字符数=69878，空文本页=0,16,否,?????=0; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
"""successful"": {",D:\桌面\codex\zotero\logs\20260425_dqn_methods_zotero_import_raw.md,.md,DQN,否,,否,,否,?????=0; �=0; mojibake=0,DQN/Q-learning 方法背景；不能替代项目文档的 state/action/reward。,可作为方法背景,
- authors:,D:\桌面\codex\zotero\templates\screening_form.md,.md,抽检; 约束; 召回,否,,否,,否,?????=0; �=0; mojibake=0,相关背景，需人工判断是否纳入正式方法依据。,可作为方法背景,
- 检索主题范围：,D:\桌面\codex\zotero\templates\search_query_template.md,.md,POMDP; MDP; 约束,否,,否,,否,?????=0; �=0; mojibake=0,POMDP/belief-MDP 理论背景；用于支持信念状态建模。,可作为方法背景,
1. 文献基本信息,D:\桌面\codex\zotero\data\deepreads\20260421_AI-Driven Risk Assessment in Food Safety Using EU RASFF Database.md,.md,POMDP; MDP; aflatoxin; 黄曲霉; 黄曲霉毒素; 抽检; 召回,否,,否,,否,?????=0; �=0; mojibake=0,POMDP/belief-MDP 理论背景；用于支持信念状态建模。,可作为方法背景,
2026-04-20 Regulatory and Risk Management Methods Search,D:\桌面\codex\zotero\logs\20260420_regulatory_risk_methods_search.md,.md,safe reinforcement learning; MDP; inspection strategy; EDI; 约束,否,,否,,否,?????=0; �=0; mojibake=0,约束强化学习背景；用于提醒正式 DQN 需预算/产能/安全约束。,可作为方法背景,
2026-04-20 Risk-Based Monitoring Literature Search,D:\桌面\codex\zotero\logs\20260420_risk_based_monitoring_search.md,.md,food safety monitoring; EDI; 抽检,否,,否,,否,?????=0; �=0; mojibake=0,AFB1/MOE/EDI 风险度量背景。,可作为方法背景,
2026-04-20 regulatory and risk management methods workflow summary,D:\桌面\codex\zotero\logs\20260420_regulatory_risk_methods_summary.md,.md,safe reinforcement learning; MDP; inspection strategy; EDI; 动态监管; 约束,否,,否,,否,?????=0; �=0; mojibake=0,约束强化学习背景；用于提醒正式 DQN 需预算/产能/安全约束。,可作为方法背景,
2026-04-20 risk-based monitoring workflow summary,D:\桌面\codex\zotero\logs\20260420_risk_based_monitoring_summary.md,.md,POMDP; MDP; food safety monitoring; EDI; 抽检,否,,否,,否,?????=0; �=0; mojibake=0,POMDP/belief-MDP 理论背景；用于支持信念状态建模。,可作为方法背景,
