path,type,size_bytes,last_write_time,recommendation,risk_level,reason,requires_user_confirmation
data/01_raw,protected_raw_data,46606557,2026-04-24 22:34:57,protect_do_not_delete,blocked,data/01_raw is immutable,not_deletable
outputs/工作包/20260426_1616_DQN文献增强建模方案与参数确认,active_or_canonical,116206,2026-04-26 16:16:30,skip_unless_user_explicitly_overrides,high,latest DQN literature/model-spec preparation,yes
outputs/工作包/20260426_1746_全流程验收与DQN自动参数训练,active_or_canonical,1195846,2026-04-26 17:46:31,skip_unless_user_explicitly_overrides,high,latest DQN experimental run; needed as baseline for revised experiment,yes
outputs/工作包/20260426_1857_科研质量核验_顶级文献对标_工作流强化,active_or_canonical,139240,2026-04-26 18:57:33,skip_unless_user_explicitly_overrides,high,latest_run_package / research quality canonical context,yes
experiments/optimization/peanut_dqn_auto_model.pt,active_or_canonical,54741,2026-04-26 18:27:57,skip_unless_user_explicitly_overrides,high,latest DQN experimental model artifact,yes
experiments/optimization/peanut_dqn_auto_policy.csv,active_or_canonical,243717,2026-04-26 18:27:53,skip_unless_user_explicitly_overrides,high,latest DQN experimental policy artifact,yes
experiments/optimization/peanut_dqn_auto_policy_comparison.csv,active_or_canonical,649,2026-04-26 18:27:57,skip_unless_user_explicitly_overrides,high,latest DQN experimental comparison artifact,yes
experiments/optimization/peanut_dqn_auto_training_metrics.csv,active_or_canonical,15036,2026-04-26 18:27:53,skip_unless_user_explicitly_overrides,high,latest DQN experimental metrics artifact,yes
data/01_raw/Concentration_and_Consumption pEANUT.xlsx,protected_raw_data,25842,2025-11-01 21:34:38,protect_do_not_delete,blocked,data/01_raw is immutable,not_deletable
data/01_raw/FINAL_SiChuan_2023_ALL_DATA.xlsx,protected_raw_data,17081452,2026-04-10 12:27:50,protect_do_not_delete,blocked,data/01_raw is immutable,not_deletable
data/01_raw/PEANUT2023-20241.xlsx,protected_raw_data,9820417,2025-10-31 13:59:34,protect_do_not_delete,blocked,data/01_raw is immutable,not_deletable
data/01_raw/PEANUTwithProb0627.xlsx,protected_raw_data,19662864,2025-08-07 10:00:06,protect_do_not_delete,blocked,data/01_raw is immutable,not_deletable
data/01_raw/population_long_clean.xlsx,protected_raw_data,14692,2025-11-23 19:18:38,protect_do_not_delete,blocked,data/01_raw is immutable,not_deletable
data/01_raw/raw_data_inventory.csv,protected_raw_data,1145,2026-04-25 00:20:14,protect_do_not_delete,blocked,data/01_raw is immutable,not_deletable
data/01_raw/README.md,protected_raw_data,145,2026-04-25 00:20:13,protect_do_not_delete,blocked,data/01_raw is immutable,not_deletable
data/03_primary/peanut_cleaned_analysis_ready.csv,active_or_canonical,75534597,2026-04-24 20:47:48,skip_unless_user_explicitly_overrides,high,canonical cleaned PEANUT table,yes
data/03_primary/peanut_cleaned_analysis_ready.xlsx,active_or_canonical,36921027,2026-04-24 20:48:43,skip_unless_user_explicitly_overrides,high,canonical cleaned PEANUT table,yes
data/04_feature/peanut_belief_mdp_state_features_with_moe_edi.csv,active_or_canonical,3070125,2026-04-24 21:32:10,skip_unless_user_explicitly_overrides,high,canonical belief-MDP/MOE-EDI state features,yes
data/04_feature/peanut_concentration_clean_table.csv,active_or_canonical,640824,2026-04-24 20:48:43,skip_unless_user_explicitly_overrides,high,canonical concentration clean table,yes
data/04_feature/peanut_count_panel.csv,active_or_canonical,113789,2026-04-24 20:48:43,skip_unless_user_explicitly_overrides,high,canonical count panel,yes
