path,type,description,created_at
README.md,readme,工作包说明,2026-04-26T17:18:30
00_输入说明/inputs.md,input,任务输入说明,2026-04-26T17:18:30
02_表格输出/one_line_dry_run_before_patch.csv,table,补强前一句话 dry-run 结果,2026-04-26T17:19:17
08_代码快照/one_line.py,code,一句话 dry-run 路由补强模块,2026-04-26T17:20:32
02_表格输出/one_line_dry_run_after_patch.csv,table,补强后一句话 dry-run 结果,2026-04-26T17:20:47
06_配置参数/one_line_research_dry_run.yaml,config,一句话 dry-run recipe 快照,2026-04-26T17:21:21
06_配置参数/one_line_task_family_registry.yaml,config,一句话任务族注册表快照,2026-04-26T17:21:21
02_表格输出/one_line_acceptance_matrix.csv,table,一句话验收矩阵,2026-04-26T17:21:59
02_表格输出/one_line_workflow_gap_matrix.csv,table,一句话流程缺口矩阵,2026-04-26T17:21:59
02_表格输出/applied_one_line_workflow_upgrades.csv,table,已应用一句话补强,2026-04-26T17:21:59
02_表格输出/one_line_approval_queue.csv,table,一句话流程确认队列,2026-04-26T17:21:59
04_报告输出/one_line_research_workflow_acceptance_report.md,report,一句话自动科研验收报告,2026-04-26T17:21:59
04_报告输出/one_line_safe_reinforcement_report.md,report,一句话安全补强报告,2026-04-26T17:21:59
07_日志与错误/workspace_cleanup_check.md,log,全工作目录整理检查,2026-04-26T17:22:53
