文件路径,文件类型,生成目的,输入来源,生成方法,主要结果,如何阅读,论文相关部分,是否支持 formal 结论,局限性,人工注意
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/00_输入说明/inputs.md,md,项目输出或说明文件。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,按 README 和对应解释索引阅读。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/01_数据输出/dqn_revised_policy.csv,csv,保存策略或模型输出数据，供表格、图表和论文草稿引用。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/01_数据输出/dqn_revised_policy.xlsx,xlsx,保存策略或模型输出数据，供表格、图表和论文草稿引用。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/01_数据输出/qlearning_policy.csv,csv,保存策略或模型输出数据，供表格、图表和论文草稿引用。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/01_数据输出/qlearning_policy.xlsx,xlsx,保存策略或模型输出数据，供表格、图表和论文草稿引用。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/action_space_options.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/baseline_fairness_check.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/chart_quality_audit.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,记录图表是否非空、是否 PNG、是否可解释。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/constraint_violation_summary.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,当前约束违约统计为 0，应解释为约束满足而非数据缺失。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Results,否；仅支持 experimental results draft 或方法说明,全 0 约束结果依赖当前约束设定，formal 前需要参数确认和敏感性分析。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/convergence_diagnosis_summary.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/data_lineage_manifest.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/delete_plan.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/deleted_files_log.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/deleted_path_index_reference_check.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/environment_audit_commands.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/multi_model_metric_summary.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/multi_model_policy_comparison.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,当前 experimental 比较中最高策略为 Q-learning。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Results,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/protected_or_skipped_files.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/research_quality_gate_results.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/reward_component_summary.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Results,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/state_feature_missing_summary.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/02_表格输出/upstream_data_validation_summary.csv,csv,保存审计、比较、质量门控或解释索引的结构化证据。,本轮任务包或项目索引。,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,先看字段解释和行列规模，再检查指标方向、单位和 evidence map。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/03_图表输出/dqn_revised_action_distribution.png,png,可视化训练、策略比较、约束或风险优先级，用于结果阅读和图表 QA。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,结合 figure_explanations.md 和源数据表读取，不从图像单独推出正式结论。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/03_图表输出/dqn_revised_constraint_summary.png,png,可视化训练、策略比较、约束或风险优先级，用于结果阅读和图表 QA。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,当前约束违约统计为 0，应解释为约束满足而非数据缺失。,结合 figure_explanations.md 和源数据表读取，不从图像单独推出正式结论。,Results,否；仅支持 experimental results draft 或方法说明,全 0 约束结果依赖当前约束设定，formal 前需要参数确认和敏感性分析。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/03_图表输出/dqn_revised_convergence_diagnosis.png,png,可视化训练、策略比较、约束或风险优先级，用于结果阅读和图表 QA。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,结合 figure_explanations.md 和源数据表读取，不从图像单独推出正式结论。,Appendix / Reproducibility,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练/03_图表输出/dqn_revised_moving_average_reward.png,png,可视化训练、策略比较、约束或风险优先级，用于结果阅读和图表 QA。,outputs/工作包/20260426_2056_推荐缓存删除与DQN修正版训练,读取最新 DQN experimental 包并在本轮复核/解释/必要时生成替代说明。,具体结果需结合对应解释文件和源 CSV 阅读。,结合 figure_explanations.md 和源数据表读取，不从图像单独推出正式结论。,Results,否；仅支持 experimental results draft 或方法说明,未经过外部验证；当前 DQN 仍为 experimental。,formal DQN 前需确认参数、约束和外部验证。
