key,title,doi,url,read_status,direction,zotero_action,duplicate_check
Mnih2015DQN,Human-level control through deep reinforcement learning,10.1038/nature14236,https://www.nature.com/articles/nature14236,local_deepread_exists_but_garbled_recheck_required,DQN 原始方法、experience replay、target network,sidecar_export_for_manual_import_or_BetterBibTeX; no SQLite write,local candidate/deepread checked; manual Zotero duplicate check recommended
VanHasselt2016DoubleDQN,Deep Reinforcement Learning with Double Q-learning,,https://arxiv.org/abs/1509.06461,metadata_or_abstract_level,Double DQN、Q 值高估偏差修正,sidecar_export_for_manual_import_or_BetterBibTeX; no SQLite write,local candidate/deepread checked; manual Zotero duplicate check recommended
Wang2016DuelingDQN,Dueling Network Architectures for Deep Reinforcement Learning,,https://arxiv.org/abs/1511.06581,metadata_or_abstract_level,Dueling DQN、value/advantage 分解,sidecar_export_for_manual_import_or_BetterBibTeX; no SQLite write,local candidate/deepread checked; manual Zotero duplicate check recommended
Lin1992ExperienceReplay,"Self-improving reactive agents based on reinforcement learning, planning and teaching",10.1007/BF00992699,https://doi.org/10.1007/BF00992699,metadata_only,experience replay 早期思想,sidecar_export_for_manual_import_or_BetterBibTeX; no SQLite write,local candidate/deepread checked; manual Zotero duplicate check recommended
Achiam2017CPO,Constrained Policy Optimization,,https://arxiv.org/abs/1705.10528,metadata_or_abstract_level,safe/constrained RL,sidecar_export_for_manual_import_or_BetterBibTeX; no SQLite write,local candidate/deepread checked; manual Zotero duplicate check recommended
Altman1999CMDP,Constrained Markov Decision Processes,10.1201/9781315140223,https://doi.org/10.1201/9781315140223,metadata_only,约束 MDP 理论,sidecar_export_for_manual_import_or_BetterBibTeX; no SQLite write,local candidate/deepread checked; manual Zotero duplicate check recommended
Kaelbling1998POMDP,Planning and acting in partially observable stochastic domains,10.1016/S0004-3702(98)00023-X,https://doi.org/10.1016/S0004-3702(98)00023-X,metadata_only,POMDP / belief state,sidecar_export_for_manual_import_or_BetterBibTeX; no SQLite write,local candidate/deepread checked; manual Zotero duplicate check recommended
Wang2020RiskBasedSampling,A risk-based sampling strategy to optimize inspection of food and feed products,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7821187/,open_full_text_available,risk-based sampling / inspection resource allocation,sidecar_export_for_manual_import_or_BetterBibTeX; no SQLite write,local candidate/deepread checked; manual Zotero duplicate check recommended
VanAsselt2021RiskBasedInspections,Risk-based inspections of food business operators,10.1016/j.foodcont.2021.108462,https://pubmed.ncbi.nlm.nih.gov/34796503/,metadata_or_abstract_level,risk-based food safety inspection,sidecar_export_for_manual_import_or_BetterBibTeX; no SQLite write,local candidate/deepread checked; manual Zotero duplicate check recommended
EFSA_MOE,Margin of exposure,,https://www.efsa.europa.eu/en/topics/topic/margin-exposure,official_page,MOE 风险评估概念,sidecar_export_for_manual_import_or_BetterBibTeX; no SQLite write,local candidate/deepread checked; manual Zotero duplicate check recommended
JECFA2018Aflatoxins,Safety evaluation of certain contaminants in food: aflatoxins,,https://iris.who.int/handle/10665/276868,metadata_or_official_record,AFB1 风险评估,sidecar_export_for_manual_import_or_BetterBibTeX; no SQLite write,local candidate/deepread checked; manual Zotero duplicate check recommended
Mitchell2019ModelCards,Model Cards for Model Reporting,,https://arxiv.org/abs/1810.03993,metadata_or_abstract_level,模型说明、适用范围、限制,sidecar_export_for_manual_import_or_BetterBibTeX; no SQLite write,local candidate/deepread checked; manual Zotero duplicate check recommended
Gebru2021Datasheets,Datasheets for Datasets,10.1145/3458723,https://doi.org/10.1145/3458723,metadata_or_abstract_level,数据/输出说明卡,sidecar_export_for_manual_import_or_BetterBibTeX; no SQLite write,local candidate/deepread checked; manual Zotero duplicate check recommended
