parameter,auto_synthesized_value,source_basis,rationale,experimental_label,formal_version_still_requires_user_confirmation
state_features,"[""posterior_mean"", ""posterior_var"", ""afb1_posterior_mean"", ""afb1_posterior_var"", ""total_count"", ""fail_count"", ""afb1_count"", ""afb1_fail_count"", ""concentration_count"", ""edi_mean"", ""edi_p95"", ""moe_min"", ""moe_penalty"", ""population_risk"", ""population""]",用户研究计划 + canonical belief-MDP/MOE-EDI 状态表,覆盖省份-年月-供应链环节、posterior、不合格计数、AFB1、MOE/EDI 与人口风险 proxy。,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,yes
action_space,"[0, 1, 3, 5, 10]",用户本轮指定优先动作空间 + 历史抽检分布,小型离散动作避免组合爆炸；当前历史分布可容纳最高动作。,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,yes
monthly_budget,4567,当前数据分布 P75,"历史每月抽检总批次数 P50=3918.5, P75=4567.2, P90=5901.7。",自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,yes
local_capacity,province_stage_P90,当前数据分布,省份 × 供应链环节历史抽检批次数 P90，样本不足时回退到 stage/global P75。,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,yes
unit_sampling_cost,1.0,用户本轮指定 + 相对成本实验惯例,无外部成本时使用相对成本单位，便于 prototype 比较。,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,yes
minimum_coverage,top-risk cells prioritized; each stage keeps low positive allocation when feasible; relaxed by action mask if infeasible,用户本轮指定 + safe RL 约束思想,top-risk 优先，每环节尽量保留覆盖，不可行时通过 action mask 放宽。,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,yes
risk_reward_weight,1.0,用户建议初值 + experimental reward shaping,保持风险收益主导，信息价值为辅助，成本和违约惩罚抑制过度抽检。,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,yes
info_gain_weight,0.3,用户建议初值 + experimental reward shaping,保持风险收益主导，信息价值为辅助，成本和违约惩罚抑制过度抽检。,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,yes
cost_weight,0.1,用户建议初值 + experimental reward shaping,保持风险收益主导，信息价值为辅助，成本和违约惩罚抑制过度抽检。,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,yes
constraint_penalty_weight,2.0,用户建议初值 + experimental reward shaping,保持风险收益主导，信息价值为辅助，成本和违约惩罚抑制过度抽检。,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,yes
transition,"{""type"": ""historical_replay_plus_beta_binomial_uncertainty_proxy"", ""causal_claim"": false, ""belief_update"": ""Beta-Binomial posterior features are replayed; action affects reward/information-gain proxy only in this experimental run""}",用户本轮指定 + 当前数据缺少真实干预轨迹,采用 historical replay + Beta-Binomial uncertainty proxy，不做因果干预声称。,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,yes
baselines,"[""uniform_allocation"", ""historical_allocation"", ""risk_ranking_top_k"", ""random_policy"", ""dqn_policy""]",用户本轮指定 + 模型评估惯例,至少比较 uniform、historical、risk-ranking、random 和 DQN。,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,yes
network,"{""type"": ""MLP"", ""hidden_layers"": [128, 64], ""activation"": ""ReLU""}",DQN 文献惯例 + 当前状态维度较小,"MLP [128,64] 足以覆盖结构化状态特征，不采用图像 CNN。",自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,yes
training_hyperparameters,"{""learning_rate"": 0.001, ""gamma"": 0.95, ""epsilon_start"": 1.0, ""epsilon_min"": 0.05, ""epsilon_decay"": 0.995, ""replay_buffer_size"": 10000, ""batch_size"": 64, ""target_update_frequency"": 100, ""episodes"": 120, ""random_seed"": 42, ""device_required"": ""cuda"", ""gpu_required"": ""NVIDIA GeForce RTX 4060 Ti""}",DQN 文献惯例 + GPU/数据规模,1710 状态、GPU 可用；episodes 从建议 300 调整到 120 以适配实验版快速闭环。,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,yes
