key,title,authors,year,venue,doi,url,direction,read_status,support_level
Mnih2015DQN,Human-level control through deep reinforcement learning,Mnih et al.,2015,Nature,10.1038/nature14236,https://www.nature.com/articles/nature14236,DQN 原始方法、experience replay、target network,local_deepread_exists_but_garbled_recheck_required,method background; not sole formal support because local note has mojibake risk
Lin1992ExperienceReplay,"Self-improving reactive agents based on reinforcement learning, planning and teaching",Lin,1992,Machine Learning,10.1007/BF00992699,https://doi.org/10.1007/BF00992699,experience replay 早期思想,metadata_only,method background
Achiam2017CPO,Constrained Policy Optimization,Achiam et al.,2017,ICML / arXiv,,https://arxiv.org/abs/1705.10528,safe/constrained RL,metadata_or_abstract_level,constraint audit framing
Altman1999CMDP,Constrained Markov Decision Processes,Altman,1999,Chapman and Hall/CRC,10.1201/9781315140223,https://doi.org/10.1201/9781315140223,约束 MDP 理论,metadata_only,formal constraint theory candidate
Kaelbling1998POMDP,Planning and acting in partially observable stochastic domains,"Kaelbling, Littman, Cassandra",1998,Artificial Intelligence,10.1016/S0004-3702(98)00023-X,https://doi.org/10.1016/S0004-3702(98)00023-X,POMDP / belief state,metadata_only,belief-MDP framing candidate
Wang2020RiskBasedSampling,A risk-based sampling strategy to optimize inspection of food and feed products,Wang et al.,2020,Food Control / PMC,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7821187/,risk-based sampling / inspection resource allocation,candidate_url_browser_access_blocked; metadata_from_local_candidate_pool,risk-based inspection design candidate; requires manual/full-text verification before formal use
VanAsselt2021RiskBasedInspections,Risk-based inspections of food business operators,van Asselt et al.,2021,Food Control,10.1016/j.foodcont.2021.108462,https://pubmed.ncbi.nlm.nih.gov/34796503/,risk-based food safety inspection,candidate_url_browser_access_blocked; metadata_from_local_candidate_pool,regulatory inspection rationale candidate; requires manual/full-text verification before formal use
EFSA_MOE,Margin of exposure,European Food Safety Authority,n.d.,EFSA topic page,,https://www.efsa.europa.eu/en/topics/topic/margin-exposure,MOE 风险评估概念,official_page,MOE/EDI interpretation background
JECFA2018Aflatoxins,Safety evaluation of certain contaminants in food: aflatoxins,JECFA / WHO,2018,WHO Food Additives Series,,https://iris.who.int/handle/10665/276868,AFB1 风险评估,metadata_or_official_record,AFB1 hazard/risk background
Mitchell2019ModelCards,Model Cards for Model Reporting,Mitchell et al.,2019,FAT* / arXiv,,https://arxiv.org/abs/1810.03993,模型说明、适用范围、限制,metadata_or_abstract_level,workflow reporting design
