path,absolute_path,type,size_bytes,decision,reason,skip_reason,protected_rule
reports/项目级索引与摘要/peanut_dqn_auto_training_report.md,D:\桌面\codex\workflow1\reports\项目级索引与摘要\peanut_dqn_auto_training_report.md,project_summary_report,947,skip,"project-level report may be superseded, but can carry unique summary context",delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
reports/项目级索引与摘要/peanut_moe_edi_external_parameter_matching_report.md,D:\桌面\codex\workflow1\reports\项目级索引与摘要\peanut_moe_edi_external_parameter_matching_report.md,project_summary_report,6919,skip,"project-level report may be superseded, but can carry unique summary context",delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
reports/项目级索引与摘要/peanut_pre_dqn_readiness_after_moe_edi.md,D:\桌面\codex\workflow1\reports\项目级索引与摘要\peanut_pre_dqn_readiness_after_moe_edi.md,project_summary_report,1981,skip,"project-level report may be superseded, but can carry unique summary context",delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
reports/项目级索引与摘要/project_whole_workspace_organization_report.md,D:\桌面\codex\workflow1\reports\项目级索引与摘要\project_whole_workspace_organization_report.md,project_summary_report,8990,skip,"project-level report may be superseded, but can carry unique summary context",delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
reports/项目级索引与摘要/README.md,D:\桌面\codex\workflow1\reports\项目级索引与摘要\README.md,project_summary_report,152,skip,"project-level report may be superseded, but can carry unique summary context",delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
reports/项目级索引与摘要/workflow_run_package_restructure_report.md,D:\桌面\codex\workflow1\reports\项目级索引与摘要\workflow_run_package_restructure_report.md,project_summary_report,4199,skip,"project-level report may be superseded, but can carry unique summary context",delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
reports/项目级索引与摘要/workflow_workspace_cleanup_report.md,D:\桌面\codex\workflow1\reports\项目级索引与摘要\workflow_workspace_cleanup_report.md,project_summary_report,5988,skip,"project-level report may be superseded, but can carry unique summary context",delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
outputs/工作包/20260424_1908_PEANUT数据清洗与风险底座,D:\桌面\codex\workflow1\outputs\工作包\20260424_1908_PEANUT数据清洗与风险底座,historical_run_package,112526009,skip,historical run package; likely old output but may be unique provenance,delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
outputs/工作包/20260424_2048_BetaBinomial信念更新,D:\桌面\codex\workflow1\outputs\工作包\20260424_2048_BetaBinomial信念更新,historical_run_package,5886488,skip,historical run package; likely old output but may be unique provenance,delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
outputs/工作包/20260424_2049_PEANUT上游查验与浓度修复,D:\桌面\codex\workflow1\outputs\工作包\20260424_2049_PEANUT上游查验与浓度修复,historical_run_package,888888,skip,historical run package; likely old output but may be unique provenance,delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
outputs/工作包/20260424_2132_MOE_EDI外部参数匹配,D:\桌面\codex\workflow1\outputs\工作包\20260424_2132_MOE_EDI外部参数匹配,historical_run_package,7015935,skip,historical run package; likely old output but may be unique provenance,delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
outputs/工作包/20260424_2244_全工作目录整理与规范化,D:\桌面\codex\workflow1\outputs\工作包\20260424_2244_全工作目录整理与规范化,historical_run_package,179930,skip,historical run package; likely old output but may be unique provenance,delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
outputs/工作包/20260424_2357_工作流任务包机制重构,D:\桌面\codex\workflow1\outputs\工作包\20260424_2357_工作流任务包机制重构,historical_run_package,94869,skip,historical run package; likely old output but may be unique provenance,delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
outputs/工作包/20260425_0020_全工作流目录重构与去重,D:\桌面\codex\workflow1\outputs\工作包\20260425_0020_全工作流目录重构与去重,historical_run_package,191950,skip,historical run package; likely old output but may be unique provenance,delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
outputs/工作包/20260425_1132_DQN初步运行,D:\桌面\codex\workflow1\outputs\工作包\20260425_1132_DQN初步运行,historical_run_package,404409,skip,recent DQN/quality/literature package; needed for current continuation unless user explicitly deletes,delete_candidates_review_required.csv is not authorized this round,review_required_or_potentially_unique
