topic,user_document_basis,zotero_pdf_basis,web_literature_basis,current_data_basis,auto_synthesized_parameter,experimental_assumption,formal_confirmation_required
state,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2","['[""posterior_mean"", ""posterior_var"", ""afb1_posterior_mean"", ""afb1_posterior_var"", ""total_count"", ""fail_count"", ""afb1_count"", ""afb1_fail_count"", ""concentration_count"", ""edi_mean"", ""edi_p95"", ""moe_min"", ""moe_penalty"", ""population_risk"", ""population""]']",yes,yes
action,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2","['[0, 1, 3, 5, 10]']",yes,yes
budget,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2",[4567],yes,yes
capacity,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2",['province_stage_P90'],yes,yes
minimum coverage,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2",['top-risk cells prioritized; each stage keeps low positive allocation when feasible; relaxed by action mask if infeasible'],yes,yes
sampling cost,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2",[1.0],yes,yes
recall/disposal loss,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2",[],yes,yes
risk loss,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2",[1.0],yes,yes
information value,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2",[],yes,yes
reward,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2",[1.0],yes,yes
transition,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2","['{""type"": ""historical_replay_plus_beta_binomial_uncertainty_proxy"", ""causal_claim"": false, ""belief_update"": ""Beta-Binomial posterior features are replayed; action affects reward/information-gain proxy only in this experimental run""}']",yes,yes
belief update,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2",[],yes,yes
episode,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2",[],yes,yes
baseline,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2","['[""uniform_allocation"", ""historical_allocation"", ""risk_ranking_top_k"", ""random_policy"", ""dqn_policy""]']",yes,yes
network,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2","['{""type"": ""MLP"", ""hidden_layers"": [128, 64], ""activation"": ""ReLU""}']",yes,yes
training hyperparameters,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2","['{""learning_rate"": 0.001, ""gamma"": 0.95, ""epsilon_start"": 1.0, ""epsilon_min"": 0.05, ""epsilon_decay"": 0.995, ""replay_buffer_size"": 10000, ""batch_size"": 64, ""target_update_frequency"": 100, ""episodes"": 120, ""random_seed"": 42, ""device_required"": ""cuda"", ""gpu_required"": ""NVIDIA GeForce RTX 4060 Ti""}']",yes,yes
evaluation metrics,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2",[],yes,yes
visualization outputs,研究计划提供风险监管/供应链/抽检优化方向；多处为 conceptual_only，未给数值参数。,本地 deepread/上一轮文献增强方案支持 DQN、safe RL、食品风险监测；乱码 note 不作为正式依据。,Nature 2015 Mnih et al. (https://www.nature.com/articles/nature14236); JMLR 2015 Garcia and Fernandez (https://jmlr.org/beta/papers/v16/garcia15a.html); EFSA 2020 aflatoxins risk assessment (https://www.efsa.europa.eu/en/efsajournal/pub/6040); EFSA aflatoxins topic page (https://www.efsa.europa.eu/en/topics/topic/aflatoxins-food),"state rows=1710, count panel rows=1710, monthly budget P75=4567.2",[],yes,yes
